Water_Year,Water_Year_Streamflow_cfs,Water_Year_Streamflow_mm_day
1964,4349.8,189.3614645556614
1965,5804.9,252.70687516648093
1966,3412.2000000000007,148.54457431533126
1967,4201.7,182.91417205929525
1968,5578.6,242.85527292524085
1980,4422,192.50457406435575
