Water_Year,Water_Year_Streamflow_cfs,Water_Year_Streamflow_mm_day
1910,12509,228.38965297962642
1911,12509,228.38965297962642
1912,12509,228.38965297962642
1913,12509,228.38965297962642
1914,12500,228.22533074149257
