Water_Year,Water_Year_Streamflow_cfs,Water_Year_Streamflow_mm_day
1964,5976.1,319.9339194256933
1965,7164.5999999999995,383.56094428093945
1966,4803.5,257.1581101322464
1967,5127.8,274.5196954587558
1968,6261.4,335.20761752514784
1980,2029.9399999999998,108.67399481250177
