Water_Year,Water_Year_Streamflow_cfs,Water_Year_Streamflow_mm_day
1964,25785,892.2906710321896
1965,27700,958.5593014384972
1966,18925,654.9001725531971
1967,25467,881.2862718315599
1968,25904,896.4086694751926
1980,18097.5,626.264511111307
