Year,ECJ,CC,LC,OSF,WO
1999,0.166666667,-0.573333333,-0.169444444,-0.133333333,-2.86
2000,3.944444444,3.553333333,3.702777778,3.897222222,1.7025
2001,-4.788888889,-5.385,-5.2,-4.880555556,-7.055
2002,1.405555556,0.88,1.002777778,1.266666667,-1.18
2003,-1.338888889,-1.773333333,-2.086111111,-1.580555556,-3.4325
2004,-2.805555556,-3.396666667,-3.597222222,-3.444444444,-5.205
2005,0.022222222,-0.955,-0.469444444,0.116666667,-2.555
2006,1.244444444,0.486666667,0.811111111,1.2,-1.29
2007,0.416666667,-0.085,0.158333333,0.586111111,-1.9225
2008,2.377777778,2.02,1.919444444,2.052777778,0.365
2009,2.65,2.166666667,2.388888889,2.608333333,0.395
2010,1.972222222,1.52,1.683333333,1.908333333,-0.1125
2011,-1,-1.286666667,-1.127777778,-0.838888889,-3.4075
2012,-0.222222222,-0.968333333,-1.266666667,-0.691666667,-2.7975
2013,3.038888889,2.791666667,2.511111111,2.916666667,1.1125
2014,1.372222222,1.043333333,0.888888889,1.436111111,-0.6325
2015,0.288888889,0.041666667,-0.541666667,0.144444444,-1.605
2016,-0.783333333,-1.345,-1.533333333,-0.894444444,-2.9875
2017,3.477777778,3.096666667,3.136111111,3.713888889,1.39
2018,3.488888889,3.153333333,2.727777778,2.902777778,1.4425
