Year,ECJ,CC,LC,OSF,WO
1995,-4.577777778,-5.096666667,-5.102777778,-4.783333333,-6.57
1996,-4.433333333,-5.341666667,-5.194444444,-5.097222222,-7.36
1997,-5.377777778,-5.538333333,-5.888888889,-5.836111111,-6.9625
1998,-2.855555556,-3.65,-3.577777778,-3.430555556,-5.575
1999,-3.077777778,-3.66,-3.602777778,-3.555555556,-5.6075
2000,-3.044444444,-3.965,-3.894444444,-3.744444444,-5.91
2001,-5.416666667,-6.028333333,-6.036111111,-5.441666667,-6.7875
2002,-6.083333333,-6.628333333,-6.847222222,-6.5,-8.1325
2003,-0.655555556,-1.091666667,-0.811111111,-0.505555556,-2.39
2004,-5.222222222,-5.54,-5.572222222,-5.330555556,-6.32
2005,-1.405555556,-2.23,-2.411111111,-1.572222222,-3.4025
2006,-3.516666667,-4.328333333,-4.102777778,-3.436111111,-5.7625
2007,-7.322222222,-7.123333333,-7.088888889,-6.236111111,-7.54
2008,-6.844444444,-7.855,-7.766666667,-6.863888889,-9.0725
2009,-2.855555556,-3.365,-3.405555556,-2.877777778,-4.405
2010,-2.888888889,-3.181666667,-3.088888889,-2.730555556,-4.2825
2011,-5.177777778,-5.783333333,-5.808333333,-5.094444444,-6.5525
2012,-2.5,-3.395,-3.491666667,-3.005555556,-4.5475
2013,-6.705555556,-6.195,-6.894444444,-6.272222222,-6.7425
2014,-2.933333333,-3.441666667,-3.683333333,-2.944444444,-4.0025
2015,-1.627777778,-2.015,-2.186111111,-1.077777778,-2.5975
2016,-4.511111111,-4.798333333,-5.816666667,-4.694444444,-5.5075
2017,-5.722222222,-5.871666667,-6.730555556,-5.441666667,-6.57
2018,-1.077777778,-1.821666667,-1.897222222,-1.191666667,-2.8
