Year,ECJ,CC,LC,OSF,WO
1986,-1.777777778,-2.556666667,-1.358333333,-0.316666667,-4.97
1987,-2.633333333,-3.61,-2.744444444,-2.702777778,-5.705
1988,-3.505555556,-4.538333333,-4.786111111,-4.319444444,-6.065
1989,-6.194444444,-6.466666667,-6.644444444,-6.9,-7.7175
1990,-5.283333333,-5.7,-6.236111111,-6.319444444,-7.6975
1991,-0.177777778,-1.273333333,-1.597222222,-1.277777778,-2.6675
1992,-1.111111111,-1.566666667,-1.813888889,-1.416666667,-3.37
1993,-6.066666667,-5.788333333,-6.177777778,-5.725,-7.1
1994,-5.494444444,-5.843333333,-5.761111111,-5.480555556,-7.5925
1995,0.533333333,0.281666667,-0.202777778,0.105555556,-1.1425
1996,-3.061111111,-2.838333333,-3.236111111,-2.805555556,-4.2375
1997,-4.894444444,-5.49,-5.427777778,-4.988888889,-6.8375
1998,-3.283333333,-3.783333333,-3.475,-3.1,-5.865
1999,-2.75,-3.423333333,-3.55,-3.427777778,-5.48
2000,-1.255555556,-1.623333333,-1.911111111,-1.638888889,-3.6275
2001,-3.966666667,-4.665,-5.216666667,-4.769444444,-6.25
2002,-5.45,-5.686666667,-6.016666667,-5.147222222,-6.6
2003,-4.488888889,-5.108333333,-5.086111111,-4.386111111,-6.7525
2004,-4.916666667,-5.691666667,-5.652777778,-4.997222222,-7.065
2005,-1.911111111,-3.341666667,-3.575,-2.169444444,-4.3225
2006,-4.211111111,-5.021666667,-5.280555556,-4.372222222,-6.21
2007,-2.316666667,-2.711666667,-2.372222222,-1.713888889,-4.5325
2008,-4.25,-4.71,-4.719444444,-3.919444444,-6.05
2009,-2.277777778,-2.781666667,-3.013888889,-2.475,-4.3575
2010,-3.472222222,-4.535,-3.95,-3.244444444,-6.025
2011,-4.761111111,-5.468333333,-5.738888889,-4.911111111,-7.055
2012,-3.316666667,-4.545,-4.091666667,-3.288888889,-6.0775
2013,-4.733333333,-5.44,-4.975,-4.488888889,-6.6425
2014,-1.872222222,-2.715,-2.363888889,-1.858333333,-4.3875
2015,1,0.075,0.058333333,0.894444444,-1.505
2016,-1.094444444,-1.555,-2.186111111,-1.4,-2.575
2017,-0.283333333,-0.978333333,-1.569444444,-0.322222222,-2.49
2018,-3.322222222,-3.823333333,-3.675,-3.133333333,-5.625
