Year,ECJ,CC,LC,OSF,WO
1997,17.24444444,16.92,17.14722222,16.93333333,14.2725
1998,17.71666667,16.94333333,17.56388889,17.46666667,14.495
1999,16.88333333,16.63166667,17.54722222,17.4,13.92
2000,19.03888889,18.54666667,19.44444444,19.20833333,16.0575
2001,18.93333333,18.31166667,19.11388889,18.94166667,15.8325
2002,17.00555556,16.72333333,17.16388889,16.80833333,14.465
2003,18.64444444,18.13166667,18.89722222,18.61666667,15.66
2004,15.55555556,15.085,15.79166667,15.59722222,12.7125
2005,16.82777778,16.35333333,17.28055556,17.22222222,13.8525
2006,16.49444444,16.3,16.96666667,16.88333333,13.8675
2007,18.5,18.08,18.84722222,18.67222222,15.5225
2008,17.97222222,17.21,18.01388889,17.93611111,14.8375
2009,16.31111111,15.56833333,16.28611111,16.11111111,13.175
2010,16.8,16.425,16.24722222,16.68611111,13.7925
2011,18.21111111,17.74,17.63611111,18.01111111,15.27
2012,19.34444444,18.55666667,18.68611111,19.2,16.0175
2013,18.13888889,17.46666667,17.90555556,18.53611111,14.9125
2014,15.59444444,15.20666667,15.3,15.425,12.5325
2015,17.46111111,16.74333333,17.05,16.89166667,14.2675
2016,17.73333333,16.90166667,17.53611111,17.54444444,14.5875
2017,18.06666667,17.19666667,17.53055556,18.05,14.7725
2018,18.26666667,17.53666667,17.67777778,18.11944444,15.1275
