"year","month","CC","EC","LC","OSF","WO"
1900,1,-2.55265474319458,-1.97720170021057,-2.43132257461548,-1.8215457201004,-3.75578117370605
1900,2,-3.94893598556519,-3.37731146812439,-4.20659589767456,-3.26852130889893,-5.28734827041626
1900,3,1.55050134658813,2.42497658729553,1.39724016189575,1.84267711639404,-0.532813012599945
1900,4,3.49224710464478,3.95505809783936,3.88625550270081,4.03851985931396,0.943560063838959
1900,5,9.37510967254639,10.1877498626709,9.52902317047119,9.73843097686768,6.94017028808594
1900,6,14.8491954803467,16.2720146179199,15.0887699127197,15.2777442932129,12.5842971801758
1900,7,16.1020336151123,17.0091152191162,16.7187347412109,17.0511131286621,13.6686611175537
1900,8,14.92458152771,16.2941989898682,15.5364589691162,15.7433061599731,12.5430908203125
1900,9,9.86387348175049,10.9518384933472,10.58531665802,10.7006769180298,7.7622857093811
1900,10,5.09520673751831,5.99800968170166,5.2450008392334,5.36884880065918,3.34556746482849
1900,11,0.603350877761841,1.91459381580353,0.909271001815796,1.20421528816223,-0.95618349313736
1900,12,-3.47636651992798,-2.51049327850342,-3.31651163101196,-2.63232469558716,-4.66450023651123
1901,1,-4.88935279846191,-3.96532702445984,-4.57494783401489,-3.40262770652771,-6.00231409072876
1901,2,-3.78733563423157,-3.00304198265076,-3.90240573883057,-3.24686527252197,-5.16729021072388
1901,3,-2.40876460075378,-1.78186750411987,-2.32925915718079,-1.59269058704376,-4.465012550354
1901,4,2.95311665534973,3.38556933403015,2.99052309989929,3.0824613571167,0.480222344398499
1901,5,9.90370845794678,10.6425943374634,10.231143951416,10.4287977218628,7.44437122344971
1901,6,10.7055969238281,12.1479253768921,11.065013885498,11.0932598114014,8.39822101593018
1901,7,18.3610439300537,20.504940032959,19.2275676727295,19.5360012054443,16.4276599884033
1901,8,16.8834457397461,18.4760284423828,17.6558513641357,17.7112426757812,14.4187250137329
1901,9,10.0741968154907,12.1692771911621,10.7711591720581,10.9067716598511,8.53256797790527
1901,10,6.77911615371704,7.54812097549438,7.11085653305054,7.47113990783691,4.90600204467773
1901,11,1.22751069068909,1.86450147628784,1.36471343040466,1.83011329174042,-0.534756362438202
1901,12,-3.93354797363281,-3.1183967590332,-3.51382875442505,-3.12915301322937,-5.36380863189697
1902,1,-5.03316020965576,-4.46463871002197,-5.01492404937744,-4.78610229492188,-6.21415519714355
1902,2,-1.38593256473541,-0.814231395721436,-0.594975054264069,-0.747167587280273,-2.92048835754395
1902,3,-3.62966299057007,-3.7109866142273,-3.42662191390991,-2.75000190734863,-6.09877014160156
1902,4,3.48805284500122,3.89318609237671,3.46675729751587,3.62047672271729,0.965964078903198
1902,5,8.03644561767578,8.49573707580566,8.25936031341553,8.3607816696167,5.4759464263916
1902,6,12.9963331222534,13.832615852356,13.3631982803345,13.311957359314,10.746205329895
1902,7,14.3610353469849,15.0940399169922,14.9986543655396,15.1548795700073,12.1315269470215
