"year","month","CC","EC","LC","OSF","WO"
1900,1,19.4973564147949,30.9451942443848,21.9277362823486,25.7762908935547,42.2054405212402
1900,2,31.6342830657959,63.6294822692871,35.5380058288574,50.4836158752441,75.961067199707
1900,3,9.0169153213501,13.0432043075562,11.1011610031128,11.7221603393555,16.3015785217285
1900,4,94.6481399536133,106.632125854492,101.017738342285,118.15657043457,144.464691162109
1900,5,23.8638000488281,15.7722568511963,26.9429950714111,30.7283592224121,33.341552734375
1900,6,6.55013799667358,2.22192907333374,6.92493391036987,10.5748596191406,8.07815456390381
1900,7,6.48329639434814,4.52461385726929,5.4587869644165,5.26205396652222,9.85696506500244
1900,8,12.1254463195801,9.26173210144043,11.6427373886108,11.9686050415039,16.4075412750244
1900,9,43.8036117553711,54.4535293579102,40.3955039978027,52.3229179382324,72.730354309082
1900,10,40.7900581359863,36.8162879943848,47.6165657043457,71.242561340332,58.7298316955566
1900,11,131.244110107422,155.814788818359,159.067718505859,240.240631103516,264.214965820312
1900,12,11.0541839599609,18.5015258789062,16.8408393859863,24.3408241271973,23.8020973205566
1901,1,38.5291175842285,65.8201675415039,61.0167922973633,93.5208511352539,83.0859680175781
1901,2,75.2876739501953,86.1672134399414,92.0932006835938,106.378479003906,147.32649230957
1901,3,63.4003028869629,106.555778503418,65.9787139892578,77.0552062988281,122.582778930664
1901,4,50.8457794189453,61.5829315185547,47.6942405700684,50.7805252075195,100.771041870117
1901,5,67.9504089355469,71.2824401855469,64.0116729736328,69.9421539306641,102.846580505371
1901,6,9.4383487701416,6.81079816818237,7.91711854934692,7.58471202850342,14.5157785415649
1901,7,16.9881610870361,18.7951259613037,8.8480281829834,6.45394611358643,31.76051902771
1901,8,43.4894790649414,38.2892379760742,40.9239158630371,40.9111938476562,55.5441741943359
1901,9,21.2497158050537,18.1450023651123,22.3887481689453,35.0967674255371,42.6640815734863
1901,10,38.3357162475586,51.5847091674805,41.5391082763672,58.7025489807129,58.7368621826172
1901,11,36.5676689147949,52.3711700439453,37.0890808105469,49.1058387756348,80.3525238037109
1901,12,53.5279922485352,74.183952331543,73.3146362304688,89.2816772460938,109.353477478027
1902,1,29.9900779724121,50.8453063964844,40.963451385498,54.4727630615234,59.393009185791
1902,2,51.0112762451172,49.1349906921387,73.2511825561523,103.748168945312,104.13289642334
1902,3,53.71240234375,68.6023712158203,57.3626518249512,65.3058242797852,88.5674667358398
1902,4,74.6582412719727,69.1928558349609,80.9565048217773,98.2333297729492,135.075088500977
1902,5,40.4062080383301,30.2473487854004,44.9062805175781,56.0248603820801,61.044750213623
1902,6,18.8816223144531,13.235954284668,16.9742374420166,21.2958316802979,30.8425045013428
