"year","month","BCR","BH","BSF","LBR","LR","SF"
1900,1,19.1965713500977,33.4793357849121,27.3068695068359,27.3422603607178,39.3347015380859,35.5833435058594
1900,2,34.9115447998047,56.5534896850586,43.3625030517578,67.2090148925781,59.4413261413574,61.1694755554199
1900,3,14.291332244873,15.9253578186035,19.164737701416,12.1624393463135,24.7271537780762,16.9166069030762
1900,4,105.260269165039,126.854827880859,120.962310791016,136.426940917969,141.641387939453,109.029350280762
1900,5,23.4373168945312,34.6468772888184,28.2551136016846,37.7010841369629,47.4240837097168,40.3150405883789
1900,6,5.44184255599976,8.00460338592529,6.44011878967285,11.9597816467285,7.45249223709106,6.06262588500977
1900,7,5.72756433486938,12.9709596633911,7.26577806472778,7.20837497711182,9.67191505432129,10.034143447876
1900,8,11.1179933547974,18.7751598358154,12.1706781387329,12.2473278045654,11.3509674072266,10.842191696167
1900,9,38.1123161315918,64.0228424072266,41.4409523010254,51.4132347106934,45.1412162780762,34.8784866333008
1900,10,45.7994232177734,56.8786773681641,55.2436599731445,89.6892547607422,62.1410179138184,45.3692169189453
1900,11,132.393920898438,211.171020507812,166.043304443359,248.090454101562,225.736480712891,193.045104980469
1900,12,15.4673547744751,16.3083343505859,20.8444156646729,30.2548980712891,31.0449962615967,22.9148712158203
1901,1,56.5368881225586,67.0392837524414,90.1072998046875,114.376091003418,110.643394470215,79.2218933105469
1901,2,71.5273513793945,131.446441650391,77.0699462890625,113.950958251953,95.2912139892578,110.10026550293
1901,3,48.5233039855957,110.11164855957,59.1414222717285,74.8104629516602,82.9862747192383,69.8478546142578
1901,4,53.5193634033203,77.3175811767578,58.3077926635742,51.6082954406738,82.2573471069336,66.520866394043
1901,5,62.1202774047852,97.5598449707031,66.6486663818359,82.297721862793,91.5045013427734,93.5014038085938
1901,6,9.01509380340576,14.9875898361206,9.91705226898193,9.90649604797363,15.8586006164551,29.2149524688721
1901,7,7.37457942962646,33.5118751525879,7.16702127456665,6.85226488113403,9.00694179534912,11.6351451873779
1901,8,34.9543075561523,59.6887702941895,35.8720512390137,39.493968963623,33.8466567993164,35.3136138916016
1901,9,17.0785255432129,41.1508483886719,24.4629516601562,35.6711616516113,30.5876560211182,26.6282157897949
1901,10,36.2284164428711,52.9468727111816,50.477710723877,77.7263565063477,55.2439842224121,28.639440536499
1901,11,30.596866607666,59.3623275756836,36.1617660522461,46.1960220336914,53.1753692626953,46.2783012390137
1901,12,62.7203102111816,85.4595947265625,63.8431739807129,82.9037322998047,77.0460205078125,68.6898193359375
1902,1,30.0471439361572,47.5545806884766,40.3558502197266,62.7137603759766,40.4950828552246,22.6516590118408
1902,2,66.5512466430664,90.0387878417969,83.6682891845703,136.615097045898,105.691009521484,87.425910949707
1902,3,51.9101791381836,80.5660781860352,62.6998672485352,64.0287322998047,91.6918716430664,90.8826217651367
1902,4,84.2436218261719,113.940200805664,94.8967437744141,104.7783203125,101.783561706543,58.4514083862305
1902,5,45.338493347168,60.3274955749512,51.0418243408203,70.709716796875,69.8723373413086,50.2824554443359
1902,6,17.9296264648438,28.7375984191895,18.6989154815674,23.9680633544922,22.8775825500488,27.5828475952148
1902,7,11.676531791687,21.8931007385254,13.259518623352,14.6145372390747,15.8060903549194,15.969799041748
1902,8,8.46572875976562,18.8204727172852,8.58489894866943,9.52098369598389,8.0135326385498,9.62927150726318
1902,9,9.47634410858154,13.8595600128174,9.17858123779297,9.64172267913818,9.26701068878174,9.65874099731445
1902,10,12.5195999145508,23.2707386016846,16.7893810272217,22.7072372436523,23.0700664520264,11.8073310852051
1902,11,54.4855575561523,71.5240249633789,69.6116790771484,72.6915893554688,94.3505172729492,42.4933700561523
1902,12,75.3253402709961,94.6650848388672,93.9946899414062,141.702301025391,125.558570861816,78.3565216064453
1903,1,152.783081054688,186.926605224609,240.535842895508,370.066314697266,270.445373535156,164.832000732422
1903,2,18.3197689056396,22.2313938140869,17.0606250762939,17.895679473877,15.8963499069214,14.321590423584
1903,3,51.5163955688477,94.0174331665039,65.0154495239258,77.8780746459961,81.1902465820312,45.9879455566406
1903,4,48.388355255127,77.4405212402344,56.2009925842285,59.9013442993164,70.1842193603516,68.9271850585938
1903,5,53.5426864624023,76.0052490234375,61.1761245727539,77.2759857177734,79.9316635131836,61.2149658203125
1903,6,13.5703916549683,11.5535078048706,13.0833892822266,10.5302534103394,15.5437784194946,28.6320152282715
1903,7,11.5249519348145,15.5264835357666,11.1632204055786,9.25307846069336,13.113091468811,20.1045799255371
1903,8,7.0003080368042,18.632453918457,8.15223693847656,14.3295269012451,5.95247840881348,11.132643699646
1903,9,37.4347839355469,55.1584434509277,38.8387718200684,49.4594764709473,45.983772277832,38.324161529541
1903,10,37.0521965026855,53.675121307373,45.7001495361328,76.3928298950195,56.4850921630859,44.1648101806641
1903,11,96.1510696411133,143.35285949707,125.592468261719,145.917526245117,174.087600708008,98.8729934692383
1903,12,47.6710472106934,68.857780456543,60.3551177978516,95.086799621582,76.2078247070312,39.3893585205078
1904,1,65.6022567749023,95.8375015258789,82.2224960327148,90.6899566650391,102.024490356445,64.0032043457031
