"year","month","BC","CC","EC","LC","MC","PC","RB"
1900,1,-1.88415110111237,-0.220931053161621,-0.289629518985748,-2.47916340827942,-1.19510591030121,-0.663739383220673,-0.201084196567535
1900,2,-3.51209878921509,-1.30883884429932,-1.35204887390137,-4.05606889724731,-2.74350833892822,-1.91567671298981,-1.23273754119873
1900,3,0.820009648799896,3.53507232666016,4.09321784973145,-0.286656826734543,1.93917417526245,3.60653853416443,3.66330599784851
1900,4,2.19977736473083,5.34649801254272,5.7711124420166,0.963232338428497,3.40300226211548,5.09227561950684,5.45081424713135
1900,5,8.48599624633789,11.3319787979126,11.799069404602,7.06665849685669,9.64407062530518,11.2210035324097,11.3761138916016
1900,6,14.8600940704346,17.4733505249023,17.9460639953613,13.4143848419189,15.9249124526978,17.4035606384277,17.4805297851562
1900,7,15.8467025756836,18.5657386779785,19.0764713287354,14.724606513977,16.8974323272705,18.4778347015381,18.6086235046387
1900,8,14.9132432937622,17.4648208618164,18.0092754364014,13.4794292449951,15.9477615356445,17.511209487915,17.5216484069824
1900,9,9.7235631942749,12.1272716522217,12.5689535140991,8.3708086013794,10.7142066955566,12.1148672103882,12.157280921936
1900,10,5.0297532081604,7.14533185958862,7.51888179779053,3.79352426528931,5.95106029510498,7.06569957733154,7.22385835647583
1900,11,0.886937737464905,2.82078146934509,3.1636438369751,-0.185232594609261,1.60922241210938,2.78197336196899,2.86916422843933
1900,12,-2.67119026184082,-1.11027550697327,-1.0185182094574,-3.24862933158875,-2.05927848815918,-1.40955460071564,-0.982713282108307
1901,1,-3.84085130691528,-2.12026047706604,-2.20846629142761,-4.40110397338867,-3.13192510604858,-2.61201071739197,-2.09425044059753
1901,2,-3.34351897239685,-1.37906002998352,-1.28324115276337,-4.12276458740234,-2.52727389335632,-1.7395932674408,-1.27432143688202
1901,3,-2.89445781707764,-0.0448700711131096,0.200068175792694,-3.71817064285278,-1.79750144481659,-0.450167894363403,0.0999643430113792
1901,4,1.70627927780151,4.52257490158081,5.0491099357605,0.46290186047554,2.86571860313416,4.47715663909912,4.68080615997314
1901,5,8.9840784072876,11.8161907196045,12.3202104568481,7.68526792526245,10.1153383255005,11.6908016204834,11.9116659164429
1901,6,10.5343284606934,12.8726224899292,13.4709310531616,9.3393087387085,11.4092845916748,12.9432907104492,13.021484375
1901,7,19.3908920288086,21.4497528076172,22.0284576416016,17.856746673584,20.2271118164062,21.55592918396,21.6813011169434
1901,8,17.099889755249,19.3937358856201,19.9419059753418,15.9013442993164,18.0228614807129,19.4146842956543,19.5474243164062
1901,9,11.1579627990723,12.7230396270752,13.2999582290649,9.58410739898682,11.9211549758911,12.9649248123169,13.0530090332031
1901,10,6.5117449760437,8.82485961914062,9.14117240905762,5.4168872833252,7.47539138793945,8.64967060089111,8.91679096221924
1901,11,1.1315016746521,3.28352856636047,3.56401777267456,0.334228843450546,1.94349443912506,3.06269121170044,3.31483197212219
1901,12,-3.45470595359802,-1.67142605781555,-1.67088973522186,-4.25011348724365,-2.76936030387878,-2.04487371444702,-1.71425986289978
1902,1,-4.50394582748413,-3.19251847267151,-3.22596120834351,-5.15339612960815,-3.90736556053162,-3.49607372283936,-3.13068079948425
1902,2,-1.2732127904892,0.790753066539764,0.861790716648102,-2.06989979743958,-0.472325444221497,0.350738853216171,0.882983326911926
1902,3,-4.80504131317139,-1.59571623802185,-1.22945868968964,-5.36220645904541,-3.65937232971191,-2.05519533157349,-1.39149391651154
1902,4,2.24120759963989,5.07986927032471,5.63075399398804,1.14661717414856,3.35567498207092,4.98239803314209,5.28314304351807
1902,5,6.80074119567871,9.42584800720215,10.0186424255371,5.67090606689453,7.86523151397705,9.43457508087158,9.5851526260376
1902,6,12.67591381073,15.0322208404541,15.557804107666,11.5381317138672,13.6287870407104,14.9595994949341,15.1380052566528
1902,7,14.1971426010132,16.7501049041748,17.2065258026123,13.0565795898438,15.2090120315552,16.5817928314209,16.8078765869141
1902,8,15.0171604156494,17.388879776001,17.8606815338135,13.8392391204834,16.0035381317139,17.262020111084,17.4954280853271
1902,9,10.3829622268677,12.7385959625244,13.1998739242554,9.11620235443115,11.3389406204224,12.6410799026489,12.833306312561
1902,10,5.55547857284546,7.78113603591919,7.98078966140747,4.46864700317383,6.48133230209351,7.45770263671875,7.76635503768921
1902,11,-1.40890324115753,0.670922160148621,0.983128070831299,-2.09453821182251,-0.648065865039825,0.47203403711319,0.707281231880188
1902,12,-4.56684970855713,-2.8817298412323,-2.88080072402954,-5.14593505859375,-3.85610628128052,-3.33872866630554,-2.9153401851654
1903,1,-3.59061408042908,-2.20610976219177,-2.26625084877014,-4.56737804412842,-2.90935969352722,-2.52034020423889,-2.20834732055664
1903,2,-11.5477323532104,-9.3045539855957,-9.28916835784912,-12.6044216156006,-10.5893154144287,-9.83542251586914,-9.27570247650146
1903,3,-2.33317184448242,0.541368782520294,0.660574615001678,-3.72232890129089,-1.16937506198883,0.0590689182281494,0.587292969226837
1903,4,1.28073406219482,4.15238857269287,4.635817527771,0.168397486209869,2.36000919342041,4.00072622299194,4.32445478439331
1903,5,5.44695281982422,7.79464483261108,8.31804466247559,3.98253035545349,6.38043451309204,7.84532356262207,7.91136837005615
1903,6,13.0697708129883,15.7120838165283,16.1512012481689,11.9105949401855,14.091215133667,15.5305366516113,15.7778377532959
1903,7,15.1159133911133,17.4944877624512,17.9477405548096,13.8432731628418,16.0280952453613,17.3702220916748,17.5800743103027
1903,8,16.1205387115479,18.0606803894043,18.6803951263428,15.0544099807739,17.0369930267334,18.1846199035645,18.1174068450928
1903,9,9.38699817657471,11.0387763977051,11.5691690444946,8.17413806915283,10.1817188262939,11.2576894760132,11.1843481063843
1903,10,5.57917165756226,7.08292531967163,7.51404285430908,4.33933448791504,6.30252599716187,7.27803754806519,7.19538068771362
