"year","month","BCR","BH","BSF","LBR","LR","SF"
1900,1,-3.53239226341248,-4.93564796447754,-2.28214836120605,-1.47736263275146,-2.18254566192627,-5.01276540756226
1900,2,-5.06991624832153,-7.05938339233398,-3.60301780700684,-2.59305500984192,-3.85652470588684,-6.63035869598389
1900,3,0.959388196468353,-2.05626606941223,1.76590371131897,2.48734331130981,1.31087875366211,-1.13371741771698
1900,4,3.58182168006897,-0.540028691291809,3.9007031917572,4.67968511581421,3.4301483631134,1.86079633235931
1900,5,8.91053581237793,5.30395984649658,9.52074718475342,10.38796043396,9.02382850646973,6.94385957717896
1900,6,14.7881011962891,10.8485059738159,15.2956619262695,16.3032188415527,14.7602853775024,12.6211347579956
1900,7,16.4833946228027,11.8150234222412,17.34450340271,18.2855339050293,16.4199142456055,13.563723564148
1900,8,14.9639749526978,10.6654748916626,15.5205507278442,16.6498336791992,14.9565334320068,12.9456844329834
1900,9,10.0172252655029,6.11826515197754,10.4087190628052,11.5127325057983,9.90590953826904,7.88389730453491
1900,10,4.3767876625061,1.93778073787689,5.30023717880249,6.23794078826904,4.85526561737061,2.86865830421448
1900,11,0.514789044857025,-2.34867811203003,1.00624263286591,1.77567958831787,0.55854207277298,-2.23874926567078
1900,12,-4.10542440414429,-5.89014625549316,-2.92389440536499,-2.04309749603271,-3.19840025901794,-6.07433938980103
1901,1,-5.26803302764893,-7.31251430511475,-3.56983876228333,-2.82129812240601,-3.6711118221283,-6.45182514190674
1901,2,-5.00569343566895,-6.71222829818726,-3.64420461654663,-2.77599859237671,-3.71536588668823,-6.45241641998291
1901,3,-2.72176599502563,-5.99196100234985,-1.55513787269592,-0.696120321750641,-1.89664745330811,-4.71962022781372
1901,4,2.67154932022095,-1.20181202888489,3.1536979675293,3.91188621520996,2.57378101348877,0.304973632097244
1901,5,10.1114044189453,5.88262414932251,10.6571283340454,11.2387886047363,10.1333179473877,8.14054679870605
1901,6,11.0871229171753,6.75121641159058,11.2541847229004,12.1579513549805,10.6305227279663,8.71228122711182
1901,7,19.0554504394531,14.4009780883789,19.8734741210938,21.1250286102295,19.3001003265381,16.2871932983398
1901,8,17.5424575805664,12.5453004837036,17.864236831665,18.4221363067627,17.3077163696289,15.1780385971069
1901,9,10.4308137893677,6.19520378112793,10.7007904052734,11.7359476089478,9.90853118896484,7.34612941741943
1901,10,6.25290012359619,3.4518027305603,7.64815902709961,8.52317905426025,7.2851710319519,5.04829692840576
1901,11,0.807174742221832,-1.81367814540863,1.75118780136108,2.44790387153625,1.41370213031769,-0.626578390598297
1901,12,-3.85365462303162,-6.46637058258057,-3.42776155471802,-2.63668251037598,-3.81185746192932,-6.01909017562866
1902,1,-5.78035593032837,-7.47131633758545,-5.14675617218018,-4.56513357162476,-5.21908664703369,-8.63149452209473
1902,2,-0.672208309173584,-4.21743583679199,-0.596965849399567,-0.251509249210358,-0.685927987098694,-3.05420327186584
1902,3,-3.80188155174255,-7.3663272857666,-2.81777739524841,-2.00952172279358,-3.2740375995636,-5.23135709762573
1902,4,2.73620748519897,-0.64843612909317,3.5074315071106,4.43065547943115,2.97707319259644,0.661229729652405
