"year","month","BC","CC","EC","LC","MC","PC","RB"
1900,1,55.6557464599609,36.5732002258301,31.9110450744629,79.5900344848633,44.7804107666016,33.8065872192383,33.3309516906738
1900,2,110.494903564453,62.3842010498047,54.9893226623535,124.435371398926,87.6508102416992,62.6304550170898,56.6877288818359
1900,3,20.4896469116211,14.8966388702393,12.7716217041016,24.3007507324219,16.8533687591553,13.3311042785645,13.4796915054321
1900,4,151.222717285156,138.748107910156,126.097541809082,141.357482910156,145.654891967773,127.975158691406,131.27458190918
1900,5,29.8601093292236,31.339334487915,28.6944770812988,37.7065010070801,29.7788276672363,26.4579315185547,30.2988433837891
1900,6,3.09130120277405,7.06659317016602,6.25653886795044,2.97609806060791,4.15120983123779,5.1093921661377,6.72189950942993
1900,7,6.10190629959106,5.69779825210571,5.7015380859375,8.75739765167236,5.87173271179199,5.51597785949707,5.8741340637207
1900,8,10.6582193374634,8.44160556793213,9.0679874420166,13.0159769058228,10.005542755127,9.54020500183105,8.7949743270874
1900,9,78.9861679077148,57.4575080871582,58.9141578674316,107.647369384766,71.3120346069336,64.772575378418,60.1591453552246
1900,10,53.5960006713867,61.6725196838379,56.3866386413574,72.7278442382812,54.0644645690918,53.6639213562012,59.3530387878418
1900,11,317.704010009766,217.105331420898,206.225891113281,432.231140136719,258.301391601562,213.930038452148,209.072006225586
1900,12,34.1261405944824,26.9458866119385,23.3543281555176,50.9408912658691,28.0806102752686,23.5995197296143,24.3308887481689
1901,1,108.522758483887,76.421501159668,65.2117156982422,137.979187011719,88.0993728637695,68.1882629394531,67.6525268554688
1901,2,154.967483520508,126.624046325684,108.113418579102,213.288513183594,131.851913452148,106.638793945312,113.664810180664
1901,3,180.730987548828,95.803840637207,89.0492248535156,218.101745605469,140.611938476562,103.290992736816,90.2151489257812
1901,4,111.259468078613,62.3110809326172,65.1613540649414,126.704681396484,98.7534027099609,73.6314392089844,63.4476203918457
1901,5,146.293228149414,107.875244140625,99.7987289428711,193.377883911133,130.860534667969,99.5693588256836,106.302253723145
1901,6,8.56630897521973,10.2579154968262,9.68597507476807,9.42983913421631,9.49524021148682,9.11139011383057,10.1489686965942
1901,7,25.8069324493408,10.7115201950073,11.5958824157715,32.5710716247559,17.7164058685303,13.7209129333496,11.6593990325928
1901,8,41.9340019226074,35.4586944580078,36.5411834716797,47.5432167053223,40.1924018859863,38.0836219787598,35.7980499267578
1901,9,31.1875286102295,32.730339050293,29.8247318267822,48.5837059020996,30.1078758239746,29.4122066497803,32.6141357421875
1901,10,71.7923355102539,70.1535034179688,64.6643829345703,90.48095703125,68.4994964599609,64.3858032226562,68.1167373657227
1901,11,107.50715637207,69.5111465454102,63.2233009338379,155.837463378906,87.7598648071289,68.5713958740234,63.963077545166
1901,12,122.663070678711,110.31477355957,94.5436019897461,162.722915649414,105.62922668457,93.0035171508789,99.2863845825195
1902,1,76.8693389892578,65.6746520996094,52.4972991943359,83.6219787597656,63.6803436279297,52.3662033081055,56.0401802062988
1902,2,90.3441390991211,89.9525756835938,74.47314453125,125.382453918457,81.9020462036133,70.5177154541016,79.5922088623047
