NaN,NaN,NaN,NaN,2.2985
NaN,NaN,NaN,NaN,3.9791
NaN,NaN,NaN,NaN,5.9395
NaN,NaN,NaN,NaN,3.3671
NaN,NaN,NaN,NaN,6.6191
NaN,NaN,NaN,NaN,2.8551
NaN,NaN,NaN,NaN,3.7121
NaN,NaN,NaN,NaN,5.6273
NaN,NaN,NaN,NaN,3.2046
NaN,NaN,NaN,NaN,4.9055
NaN,NaN,NaN,NaN,2.5112
NaN,NaN,NaN,NaN,3.691
NaN,NaN,NaN,NaN,5.2939
NaN,NaN,NaN,NaN,4.0566
NaN,NaN,NaN,NaN,2.766
NaN,NaN,NaN,NaN,4.6631
NaN,NaN,NaN,NaN,5.3973
NaN,NaN,1.4229,2.5762,6.3811
NaN,NaN,1.359,2.5073,4.509
NaN,NaN,NaN,1.3148,1.9728
NaN,NaN,NaN,1.2809,2.5961
NaN,NaN,NaN,1.0911,2.635
NaN,NaN,NaN,2.2724,4.2393
NaN,0.95319,NaN,2.0017,3.9999
NaN,1.0242,NaN,1.8232,4.4171
NaN,0.50478,NaN,0.88118,2.7325
NaN,0.087228,NaN,0.44952,1.3964
NaN,0.70399,NaN,2.5324,4.5695
NaN,0.42776,NaN,1.6332,4.0275
NaN,NaN,NaN,0.31066,0.98178
NaN,0.40279,NaN,1.2252,3.6834
NaN,1.0087,NaN,3.5322,4.5371
NaN,0.68767,NaN,1.6634,2.9476
NaN,0.74097,NaN,1.5426,3.512
NaN,0.31568,NaN,1.0477,2.0244
NaN,0.17181,NaN,0.70631,1.65
NaN,0.25081,NaN,0.71096,2.677
NaN,0.67382,0.31721,1.233,2.8489
NaN,NaN,0.69032,1.7775,2.8833
NaN,0.87975,0.43493,1.3392,4.0306
NaN,0.35337,0.32729,1.6037,2.7504
NaN,0.60672,0.69165,2.2259,2.6294
NaN,0.55274,0.37957,1.2475,3.1777
NaN,0.7126,0.55685,2.0926,3.344
NaN,0.70965,0.89865,1.9858,3.3292
NaN,1.1949,1.2464,2.4766,4.1549
NaN,0.70912,0.98329,2.5698,3.4857
NaN,1.4998,1.5585,3.2699,4.9294
NaN,0.43761,0.48668,1.6519,3.3268
NaN,0.20209,0.22969,0.9074,2.0279
NaN,0.33429,0.34824,1.351,2.8187
NaN,0.55309,NaN,1.8998,3.5299
NaN,0.81124,0.57605,1.7134,4.1415
NaN,0.3779,0.4058,1.3575,2.7988
NaN,0.24107,0.18727,0.72566,2.0108
NaN,0.2855,0.24389,1.0184,2.2052
NaN,0.12506,0.079761,0.40138,1.0827
NaN,NaN,0.40548,1.9183,3.8003
NaN,NaN,NaN,1.3127,2.6447
NaN,0.66964,0.48473,1.8673,4.0245
NaN,0.95913,NaN,2.6535,4.605
NaN,0.41998,NaN,1.2506,2.3706
NaN,0.87849,NaN,1.6915,4.539
NaN,0.74622,NaN,1.4756,4.1189
NaN,0.75436,NaN,NaN,3.6479
NaN,NaN,NaN,1.7782,4.12
NaN,0.87147,NaN,NaN,3.4295
NaN,0.80731,NaN,2.6297,2.8812
NaN,1.1589,NaN,1.9085,3.1895
NaN,1.2107,NaN,2.2095,3.705
NaN,1.0032,NaN,2.6719,4.5939
NaN,0.49956,NaN,1.5499,2.5837
NaN,0.072354,NaN,0.36214,0.90286
NaN,0.62217,NaN,1.775,3.0881
NaN,0.24101,NaN,1.7666,2.99
NaN,NaN,NaN,NaN,3.656
NaN,0.4928,NaN,0.65506,3.0526
NaN,1.0928,NaN,2.5356,4.0179
NaN,1.8932,NaN,2.909,5.0924
NaN,1.4422,NaN,3.2159,4.9256
NaN,1.0927,NaN,NaN,2.9469
NaN,1.4265,NaN,3.3711,4.6945
NaN,0.34062,NaN,0.71103,2.0625
NaN,0.22393,NaN,0.648,1.8033
NaN,0.33508,NaN,1.4492,2.1529
NaN,0.23217,NaN,0.50508,2.3011
NaN,0.46711,NaN,1.5162,3.9347
NaN,0.1709,NaN,0.36927,1.1927
NaN,1.1223,NaN,1.969,3.7661
NaN,0.27931,NaN,1.2962,2.664
NaN,0.77107,NaN,1.5976,4.1155
NaN,0.75827,NaN,1.5371,3.6025
NaN,1.0014,NaN,3.0944,3.911
NaN,0.96276,NaN,1.9505,3.6851
NaN,0.92194,NaN,2.11,4.0897
NaN,0.26245,NaN,0.83468,2.3312
NaN,0.27056,NaN,0.96789,2.5707
0.77473,0.26905,NaN,1.1519,1.9269
0.4368,0.2824,NaN,0.62045,2.4062
0.70916,0.22672,NaN,0.86782,1.6145
1.5416,0.82515,NaN,1.9138,3.7125
2.0762,0.59439,NaN,2.2056,3.3599
0.63214,0.40097,NaN,0.8822,1.8681
1.2416,0.74948,NaN,1.5589,3.943
1.2413,0.75647,NaN,1.5166,3.7941
1.0642,0.64658,NaN,1.0777,3.2561
NaN,2.102,NaN,NaN,5.9738
0.65288,0.27446,NaN,0.80704,1.6187
0.66841,0.23308,NaN,0.58976,2.2239
0.60052,0.27177,NaN,1.1573,2.5991
0.56591,0.2286,NaN,0.70316,1.8149
0.63625,0.42818,NaN,1.4503,2.8783
1.4202,0.93833,NaN,2.8414,3.9065
NaN,NaN,NaN,NaN,1.9891
