Year,ECJ,CC,LC,OSF,WO
1997,12.57222222,12.125,12.37777778,12.20277778,9.72
1998,13.81111111,13.33666667,13.85277778,13.70555556,10.8575
1999,11.08333333,10.595,11.28611111,11.09444444,8.435
2000,11.90555556,11.58,11.68055556,11.43888889,9.4925
2001,14.43333333,14.02666667,14.93333333,14.82777778,11.9
2002,12.1,11.82333333,12.66944444,12.38611111,9.4125
2003,12.32222222,11.78666667,12.51111111,12.19444444,9.5925
2004,12.03333333,11.30333333,11.78888889,11.53333333,9.215
2005,11.88333333,11.44,12.05555556,11.83055556,9.3525
2006,10.37222222,10.24833333,10.93333333,10.81944444,8.1275
2007,12.8,12.40666667,13.03611111,12.80833333,10.055
2008,12.32777778,11.66,12.475,12.46666667,9.51
2009,14.57777778,13.975,14.99444444,15.02777778,11.795
2010,13.67777778,13.06666667,12.81666667,13.25555556,11.085
2011,13.70555556,12.915,13.16944444,13.69722222,10.8
2012,14.14444444,13.24,13.68611111,14.10277778,11.3775
2013,12.81111111,12.30333333,12.8,12.94722222,9.9375
2014,13.81111111,13.33,13.37777778,13.63333333,11.14
2015,14.69444444,14.24333333,14.88333333,14.63055556,12.0925
2016,12.90555556,12.38166667,12.66388889,12.725,10.145
2017,12.03888889,11.61666667,12.12222222,12.16944444,9.305
2018,15.20555556,14.57166667,15.06388889,15.1,12.51
