Year,ECJ,CC,LC,OSF,WO,ECM,OP,WC,WG
1946,-6.55,-7.336666667,-7.444444444,-7.113888889,-8.3575,-6.002631579,-6.875714286,-7.390816327,-6.894637224
1947,-7.472222222,-8.098333333,-7.941666667,-7.386111111,-9.14,-6.957894737,-7.211428571,-8.237755102,-7.610725552
1948,-5.061111111,-5.285,-5.266666667,-4.755555556,-6.825,-4.384210526,-4.478571429,-5.635714286,-4.922712934
1949,-11.81111111,-13.10333333,-13.48333333,-12.85833333,-13.4475,-11.38684211,-12.81714286,-12.85510204,-12.58170347
1950,-6.866666667,-7.023333333,-6.633333333,-6.075,-8.9025,-6.115789474,-5.872857143,-7.364285714,-6.651419558
1951,-5.872222222,-6.201666667,-5.963888889,-5.372222222,-7.7875,-5.160526316,-5.187142857,-6.37244898,-5.777287066
1952,-6.022222222,-7.006666667,-7.155555556,-6.444444444,-8.0125,-5.534210526,-6.262857143,-6.91122449,-6.5170347
1953,-1.283333333,-0.955,-0.044444444,0.561111111,-3.1725,-0.510526316,0.731428571,-1.586734694,-0.667192429
1954,-2.922222222,-3.031666667,-2.7,-2.216666667,-4.82,-2.265789474,-2.032857143,-3.387755102,-2.694952681
1955,-8.283333333,-9.015,-9.427777778,-9.213888889,-10.12,-7.786842105,-9.204285714,-8.88877551,-8.683280757
1956,-1.972222222,-2.193333333,-1.855555556,-1.238888889,-4.1225,-1.242105263,-1.012857143,-2.506122449,-1.805678233
1957,-6.927777778,-7.718333333,-8.058333333,-7.411111111,-9.145,-6.352631579,-7.234285714,-7.791836735,-7.341640379
1958,-5.222222222,-6.258333333,-6.647222222,-5.713888889,-7.0475,-4.723684211,-5.468571429,-6.23877551,-5.761198738
1959,-3.661111111,-3.596666667,-3.058333333,-2.530555556,-5.6075,-2.957894737,-2.407142857,-3.994897959,-3.229968454
1960,-6.533333333,-6.715,-6.494444444,-6.308333333,-8.5225,-5.844736842,-6.154285714,-7.184693878,-6.396845426
1961,-3.283333333,-4.378333333,-4.002777778,-3.591666667,-5.285,-2.915789474,-3.428571429,-4.182653061,-3.742902208
1962,-7.194444444,-7.88,-8.161111111,-7.769444444,-8.83,-6.684210526,-7.774285714,-7.978571429,-7.519242902
1963,-7.933333333,-8.116666667,-7.888888889,-7.669444444,-9.5525,-7.378947368,-7.667142857,-8.189795918,-7.780757098
1964,-7.472222222,-7.863333333,-7.955555556,-7.919444444,-9.1575,-6.886842105,-7.978571429,-8.059183673,-7.590851735
1965,-3.777777778,-4.02,-3.602777778,-2.888888889,-5.7975,-3.155263158,-2.704285714,-4.466326531,-3.623028391
1966,-6.122222222,-6.583333333,-6.713888889,-6.008333333,-8.2275,-5.457894737,-5.774285714,-6.82755102,-6.250157729
1967,-4.616666667,-4.865,-4.138888889,-3.688888889,-6.6425,-4.123684211,-3.62,-5.317346939,-4.428706625
1968,-5.472222222,-6.468333333,-7.013888889,-7.077777778,-7.055,-5.084210526,-7.022857143,-6.223469388,-6.087381703
1969,-3.577777778,-3.613333333,-2.855555556,-2.586111111,-5.9525,-2.857894737,-2.495714286,-4.212244898,-3.296214511
1970,-4.95,-5.028333333,-3.744444444,-3.186111111,-7.475,-4.207894737,-3.205714286,-5.75,-4.526498423
1971,-4.994444444,-5.088333333,-4.136111111,-3.944444444,-7.3175,-4.231578947,-3.81,-5.662244898,-4.697160883
1972,-6.094444444,-6.18,-5.819444444,-5.261111111,-8.1975,-5.418421053,-5.17,-6.612244898,-5.894006309
1973,-7.7,-8.738333333,-9.108333333,-8.941666667,-9.285,-7.239473684,-8.995714286,-8.375510204,-8.257097792
1974,-7.355555556,-7.721666667,-7.325,-7.069444444,-9.575,-6.652631579,-6.998571429,-8.060204082,-7.368454259
1975,-7.055555556,-7.376666667,-6.905555556,-6.936111111,-8.8025,-6.444736842,-7.044285714,-7.67755102,-7.016719243
1976,-6.222222222,-6.093333333,-6.091666667,-6.019444444,-7.89,-5.618421053,-6.107142857,-6.657142857,-5.995583596
1977,-6.683333333,-6.865,-6.419444444,-6.277777778,-8.485,-6.05,-6.284285714,-7.190816327,-6.49148265
1978,-4.266666667,-4.091666667,-3.319444444,-2.583333333,-5.8025,-3.402631579,-2.405714286,-4.569387755,-3.630599369
1979,-9.794444444,-10.345,-10.53611111,-10.25,-11.695,-9.178947368,-10.12857143,-10.44387755,-9.960252366
1980,-4.783333333,-4.905,-4.444444444,-3.461111111,-6.54,-4.031578947,-3.314285714,-5.285714286,-4.397476341
1981,-2.133333333,-1.558333333,-2.152777778,-2.297222222,-2.98,-1.828947368,-2.355714286,-2.067346939,-1.751419558
1982,-6.261111111,-6.651666667,-6.477777778,-6.072222222,-8.1875,-5.684210526,-6.004285714,-7.03877551,-6.250788644
