Year,ECJ,CC,LC,OSF,WO
1997,9.622222222,9.228333333,9.563888889,9.388888889,6.4375
1998,7.855555556,7.858333333,7.847222222,7.433333333,5.07
1999,6.822222222,6.763333333,6.827777778,6.491666667,3.945
2000,9.855555556,9.498333333,9.622222222,9.252777778,6.95
2001,10.4,9.945,10.17777778,10.01111111,7.4975
2002,8.533333333,8.093333333,8.288888889,8.102777778,5.505
2003,8.888888889,8.886666667,9.266666667,9.033333333,6.2725
2004,8.855555556,8.368333333,8.477777778,8.066666667,5.795
2005,9.127777778,8.591666667,8.725,8.455555556,6.085
2006,9.944444444,9.861666667,10.17222222,10.13888889,7.405
2007,9.905555556,9.876666667,10.275,10.29722222,7.27
2008,7.166666667,6.826666667,7.158333333,6.997222222,4.155
2009,9.755555556,9.325,9.580555556,9.375,6.7775
2010,5.45,4.831666667,5.211111111,5.102777778,2.3975
2011,5.95,5.195,5.358333333,5.35,2.91
2012,9.65,9.07,8.858333333,9.019444444,6.8825
2013,9.166666667,8.943333333,8.816666667,8.958333333,6.4175
2014,9.355555556,9.006666667,9.230555556,9.391666667,6.495
2015,8.55,7.933333333,7.969444444,8.194444444,5.375
2016,8.188888889,7.693333333,7.791666667,8.022222222,5.1525
2017,8.755555556,8.25,8.438888889,8.494444444,5.78
2018,10.08333333,9.598333333,9.95,9.936111111,7.1275
