NaN,NaN,NaN,NaN,349.56
NaN,NaN,NaN,NaN,548.37
NaN,NaN,NaN,NaN,881.28
NaN,NaN,NaN,NaN,463.99
NaN,NaN,NaN,NaN,812.54
NaN,NaN,NaN,NaN,538.08
NaN,NaN,NaN,NaN,541.69
NaN,NaN,NaN,NaN,594.28
NaN,NaN,NaN,NaN,493.8
NaN,NaN,NaN,NaN,708.29
NaN,NaN,NaN,NaN,412.76
NaN,NaN,NaN,NaN,588.18
NaN,NaN,NaN,NaN,691.77
NaN,NaN,NaN,NaN,440
NaN,NaN,NaN,NaN,355.82
NaN,NaN,NaN,NaN,579.68
NaN,NaN,NaN,NaN,793.14
NaN,NaN,155.64,399.54,682.66
NaN,NaN,173.85,381.83,593.82
NaN,NaN,NaN,223.44,324.59
NaN,NaN,NaN,265.74,409.42
NaN,NaN,NaN,205.91,390.22
NaN,NaN,NaN,346.16,488.07
NaN,102.8,NaN,335.12,494.41
NaN,124.3,NaN,313.33,529.62
NaN,72.238,NaN,173.2,392.81
NaN,21.146,NaN,112.88,229.49
NaN,89.33,NaN,369.19,536.55
NaN,53.456,NaN,267.42,403.59
NaN,12.039,NaN,92.224,164.56
NaN,58.828,NaN,211.19,419.55
NaN,101.83,NaN,430.99,525.91
NaN,81.433,NaN,272.33,377.25
NaN,106.65,NaN,272.99,455.33
NaN,52.333,NaN,187.57,320.77
NaN,27.847,NaN,150.14,262.14
NaN,42.076,NaN,150.86,355.97
NaN,99.933,44.289,216.97,433.55
NaN,94.017,94.092,300.15,449.17
NaN,116.64,63.435,216.39,473.26
NaN,62.518,60.635,273.79,389.59
NaN,90.688,102.4,349.67,429.36
NaN,89.4,66.919,234.05,460.34
NaN,98.26,75.671,311.29,419.4
NaN,101.52,111.17,333.49,463.78
NaN,169.06,176,413.86,585.65
NaN,103.85,148.35,416.45,510.29
NaN,179.53,194.48,454.07,637.98
NaN,69.572,78.22,277.81,406.98
NaN,38.305,48.351,182.16,297.63
NaN,45.544,55.926,215.07,335.68
NaN,83.13,81.768,311,494.2
NaN,116.09,93.6,330.39,503.13
NaN,54.283,66.974,263.5,374.37
NaN,41.443,38.077,153.19,320.52
NaN,48.459,44.695,187.22,330.67
NaN,23.14,21.743,99.338,196.58
NaN,76.066,71.783,289.72,494.12
NaN,49.259,54.577,216.68,356.94
NaN,89.97,70.651,275.59,450.43
NaN,147.32,NaN,388.53,609.84
NaN,80.175,NaN,224.11,392.95
NaN,123.2,NaN,290.76,557.7
NaN,116.64,NaN,247.29,516.54
NaN,113.51,NaN,352.08,538.3
NaN,97.847,NaN,255.94,431.39
NaN,138.74,NaN,427.05,533.8
NaN,139.99,NaN,450.38,500.83
NaN,134.58,NaN,302.32,452.03
NaN,157.38,NaN,379.29,517.17
NaN,131.18,NaN,400.41,574.77
NaN,85.686,NaN,268.1,399.78
NaN,20.49,NaN,92.115,171.86
NaN,94.625,NaN,298.61,475.54
NaN,48.938,NaN,281.95,347.58
NaN,110.28,NaN,420.35,453.09
NaN,79.957,NaN,150.11,361.28
NaN,149.05,NaN,437.65,600.66
NaN,251.19,NaN,483.73,709.02
NaN,221.15,NaN,559.08,691.59
NaN,159.83,NaN,392.1,523.63
NaN,273.7,NaN,652.04,797.35
NaN,70.531,NaN,177.25,318.62
NaN,43.53,NaN,139.12,271.32
NaN,59.044,NaN,249.84,340.75
NaN,45.504,NaN,134.93,332.71
NaN,66.733,NaN,208.12,368.01
NaN,39.155,NaN,107.1,218.42
NaN,153.25,NaN,329.34,591.05
NaN,58.186,NaN,212.24,323.38
NaN,133.16,NaN,313.46,625.95
NaN,115.67,NaN,304.57,521.86
NaN,151.52,NaN,472.28,586.43
NaN,154.12,NaN,401.28,568.75
NaN,153.31,NaN,389.97,540.41
NaN,50.564,NaN,195.87,320.41
NaN,45.191,NaN,185.9,294.45
130.4,45.349,NaN,208.72,263.64
99.64,48.985,NaN,148.44,341.65
134.15,40.974,NaN,174.08,274.04
293.32,114.46,NaN,345.53,515.69
330.4,86.921,NaN,354.16,462.58
145.16,70.499,NaN,167.03,322.37
232.52,95.182,NaN,253.57,468.68
244.25,113.89,NaN,274.08,501.22
214.26,93.127,NaN,177.39,401.27
496.67,267.35,NaN,570.65,779
146.96,55.473,NaN,171.34,278.98
137.72,38.051,NaN,132.11,263.29
138.9,55.888,NaN,204.49,376.05
118.4,45.528,NaN,140.76,335.59
145.26,64.664,NaN,260.02,382.64
272.26,149.54,NaN,526.6,601.31
NaN,NaN,NaN,NaN,271.12
