Year,ECJ,CC,LC,OSF,WO
2007,4.916666667,4.961666667,5.225,5.130555556,2.5325
2008,1.588888889,0.846666667,0.994444444,0.947222222,-1.835
2009,3.605555556,3.083333333,3.544444444,3.458333333,0.5075
2010,3.127777778,2.35,3.075,3.111111111,0.2475
2011,2.022222222,1.386666667,1.633333333,1.569444444,-0.935
2012,6.1,5.383333333,5.866666667,6.094444444,3.0125
2013,2.711111111,1.911666667,2.302777778,2.558333333,-0.205
2014,3.883333333,3.483333333,3.563888889,3.591666667,0.9925
2015,4.855555556,4.735,4.705555556,4.705555556,2.195
2016,5.394444444,5.115,5.363888889,5.833333333,2.71
2017,3.561111111,3.296666667,3.261111111,3.441666667,0.7425
2018,5.188888889,4.95,4.919444444,4.883333333,2.3975
