NaN,NaN,NaN,NaN,110
NaN,NaN,NaN,NaN,111
NaN,NaN,NaN,NaN,129
NaN,NaN,NaN,NaN,99
NaN,NaN,NaN,NaN,97
NaN,NaN,NaN,NaN,148
NaN,NaN,NaN,NaN,116
NaN,NaN,NaN,NaN,77
NaN,NaN,NaN,NaN,105
NaN,NaN,NaN,NaN,113
NaN,NaN,NaN,NaN,114
NaN,NaN,NaN,NaN,127
NaN,NaN,NaN,NaN,105
NaN,NaN,NaN,NaN,76
NaN,NaN,NaN,NaN,89
NaN,NaN,NaN,NaN,99
NaN,NaN,NaN,NaN,120
NaN,NaN,82,119,83
NaN,NaN,105,116,102
NaN,NaN,NaN,105,111
NaN,NaN,NaN,158,121
NaN,NaN,NaN,129,106
NaN,NaN,NaN,116,88
NaN,77,NaN,126,92
NaN,93,NaN,134,89
NaN,104,NaN,118,101
NaN,111,NaN,119,103
NaN,109,NaN,121,95
NaN,83,NaN,126,76
NaN,NaN,NaN,122,101
NaN,125,NaN,126,89
NaN,79,NaN,100,87
NaN,88,NaN,125,93
NaN,116,NaN,135,98
NaN,126,NaN,122,106
NaN,113,NaN,146,117
NaN,112,NaN,148,94
NaN,121,105,133,117
NaN,NaN,115,133,127
NaN,111,112,111,90
NaN,116,139,129,99
NaN,119,122,120,126
NaN,126,132,130,110
NaN,106,99,113,90
NaN,119,100,132,110
NaN,120,116,129,113
NaN,105,115,123,109
NaN,102,101,110,103
NaN,108,97,116,86
NaN,111,124,127,102
NaN,95,108,109,84
NaN,116,NaN,111,110
NaN,117,122,157,96
NaN,91,120,150,99
NaN,123,130,125,121
NaN,121,134,127,106
NaN,112,132,122,115
NaN,NaN,150,114,102
NaN,NaN,NaN,118,98
NaN,114,113,113,86
NaN,123,NaN,106,105
NaN,137,NaN,130,119
NaN,115,NaN,118,96
NaN,119,NaN,107,93
NaN,117,NaN,NaN,117
NaN,NaN,NaN,81,74
NaN,124,NaN,NaN,123
NaN,142,NaN,120,139
NaN,87,NaN,97,102
NaN,98,NaN,128,110
NaN,103,NaN,105,103
NaN,121,NaN,100,111
NaN,147,NaN,133,119
NaN,127,NaN,131,132
NaN,129,NaN,105,82
NaN,NaN,NaN,NaN,100
NaN,123,NaN,91,83
NaN,105,NaN,141,120
NaN,101,NaN,118,100
NaN,113,NaN,123,102
NaN,103,NaN,NaN,139
NaN,168,NaN,163,140
NaN,121,NaN,104,92
NaN,124,NaN,82,86
NaN,133,NaN,111,110
NaN,136,NaN,105,101
NaN,98,NaN,74,62
NaN,139,NaN,156,128
NaN,115,NaN,135,137
NaN,145,NaN,96,77
NaN,145,NaN,149,122
NaN,116,NaN,146,106
NaN,118,NaN,120,116
NaN,126,NaN,168,115
NaN,126,NaN,134,91
NaN,111,NaN,113,86
NaN,115,NaN,94,68
114,130,NaN,100,92
135,130,NaN,95,97
132,127,NaN,115,116
144,113,NaN,141,110
116,110,NaN,117,103
146,127,NaN,91,112
150,102,NaN,117,90
151,123,NaN,134,103
151,115,NaN,91,89
NaN,108,NaN,NaN,109
121,121,NaN,90,94
112,119,NaN,99,68
155,156,NaN,115,98
68,122,NaN,101,112
170,116,NaN,132,94
151,135,NaN,160,123
NaN,NaN,NaN,NaN,82
